State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,27567618,46.52192812,-4.52192812,6,2,1997384,618966,13757025,1989128,635958,13810593,3986512,1254924,27567618
Arunachal Pradesh,2,215657,0.363933491,1.636066509,0,0,0,0,109313,0,0,106344,0,0,215657
Assam,14,7225616,12.19363923,1.80636077,1,2,290649,414870,3913933,244729,363003,3311683,535378,777873,7225616
Bihar,54,34996402,59.05842494,-5.05842494,8,5,2688410,1414787,18389419,2455026,1375777,16606983,5143436,2790564,34996402
Goa Daman & Diu,2,477404,0.805646486,1.194353514,0,0,0,0,237379,0,0,240025,0,0,477404
Gujarat,26,14109708,23.81093722,2.18906278,2,4,557780,1072364,7126264,565003,1068370,6983444,1122783,2140734,14109708
Haryana,10,5766654,9.731557616,0.268442384,2,0,587293,0,3047804,509866,0,2718850,1097159,0,5766654
Himachal Pradesh,4,1961050,3.309383754,0.690616246,1,0,245983,0,1005259,219737,0,955791,465720,0,1961050
Jammu & Kashmir,6,2557422,4.315795527,1.684204473,0,0,0,0,1341600,0,0,1215822,0,0,2557422
Karnataka,28,16767195,28.29559814,-0.29559814,4,0,1212190,0,8604585,1167275,0,8162610,2379465,0,16767195
Kerala,20,11460901,19.34092429,0.65907571,2,0,534241,0,5675507,565456,0,5785394,1099697,0,11460901
Madhya Pradesh,40,22782932,38.44749753,1.55250247,5,8,1457023,2100020,11428048,1429826,2165775,11354884,2886849,4265795,22782932
Maharashtra,48,28856991,48.69781862,-0.69781862,3,3,897216,867142,14841350,867862,836695,14015641,1765078,1703837,28856991
Manipur,2,788223,1.330171281,0.669828719,0,1,0,190886,396359,0,189419,391864,0,380305,788223
Meghalaya,2,530326,0.89495538,1.10504462,0,0,0,0,266278,0,0,264048,0,0,530326
Mizoram,1,204480,0.345071666,0.654928334,0,0,0,0,100050,0,0,104430,0,0,204480
Nagaland,1,473257,0.798648187,0.201351813,0,0,0,0,262593,0,0,210664,0,0,473257
Odisha,21,12645435,21.33989299,-0.33989299,3,5,976952,1437531,6580934,882763,1349663,6064501,1859715,2787194,12645435
Punjab,13,8163885,13.77702169,-0.77702169,3,0,1029665,0,4402486,864342,0,3761399,1894007,0,8163885
Rajasthan,25,15240432,25.71909848,-0.71909848,4,3,1279282,866816,7833871,1174563,836166,7406561,2453845,1702982,15240432
Sikkim,1,124023,0.209295888,0.790704112,0,0,0,0,64682,0,0,59341,0,0,124023
Tamil Nadu,39,27187417,45.88031725,-6.88031725,7,0,2378826,0,13704042,2376964,0,13483375,4755790,0,27187417
Tripura,2,866056,1.461518909,0.538481091,0,1,0,225563,445645,0,209550,420411,0,435113,866056
Uttar Pradesh,85,51934297,87.64208907,-2.64208907,18,0,5990134,0,28080937,5128567,0,23853360,11118701,0,51934297
West Bengal,42,25122416,42.39551025,-0.39551025,8,2,2516046,582615,13634263,2307701,516589,11488153,4823747,1099204,25122416
Andaman & Nicobar,1,85308,0.143962117,0.856037883,0,0,0,0,55770,0,0,29538,0,0,85308
Chandigarh,1,160963,0.271634246,0.728365754,0,0,0,0,92520,0,0,68443,0,0,160963
Dadra & Nagar Haveli,1,37532,0.063337391,0.936662609,0,1,0,18389,18389,0,19143,19143,0,37532,37532
Delhi,7,2547064,4.298315812,2.701684188,1,0,179518,0,1441842,135787,0,1105222,315305,0,2547064
Lakshadweep,1,19471,0.032858423,0.967141577,0,1,0,10184,10184,0,9287,9287,0,19471,19471
Pondicherry,1,298192,0.503216012,0.496783988,0,0,0,0,150820,0,0,147372,0,0,298192
Total,542,321174327,542,0,78,38,24818592,9820133,167019151,22884595,9575395,154155176,47703187,19395528,
