State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,49654389,43.5201447,-1.520144698,6,2,3725717,979909,24771335,3712816,1017236,24883054,7438533,1997145,49654389
Arunachal Pradesh,2,611572,0.536019121,1.463980879,0,0,0,0,320597,0,0,290975,0,0,611572
Assam,14,14290673,12.52522021,1.474779787,1,2,488389,880740,7454673,454774,823558,6836000,943163,1704298,14290673
Bihar,54,58788098,51.52548612,2.474513875,8,5,4604669,2306087,31160812,4063575,2213241,27627286,8668244,4519328,58788098
Goa,2,908849,0.796570873,1.203429127,0,0,0,0,462179,0,0,446670,0,0,908849
Gujarat,26,29512402,25.86647487,0.133525127,2,4,1030349,2127969,15224360,1003357,2078326,14288042,2033706,4206295,29512402
Haryana,10,11038955,9.675215597,0.324784403,2,0,1188680,0,6015380,1003605,0,5023575,2192285,0,11038955
Himachal Pradesh,4,3786479,3.318701877,0.681298123,1,0,504051,0,1914918,441012,0,1871561,945063,0,3786479
Jammu & Kashmir,6,5030094,4.408682155,1.591317845,0,0,0,0,2725461,0,0,2304633,0,0,5030094
Karnataka,28,34284098,30.04868121,-2.048681211,4,0,2305432,0,17447578,2236623,0,16836520,4542055,0,34284098
Kerala,20,22058901,19.33377054,0.666229457,2,0,1016649,0,10794307,1093816,0,11264594,2110465,0,22058901
Madhya Pradesh,40,46915473,41.11959113,-1.119591131,6,9,3599139,4962095,24368702,3284011,4827870,22546771,6883150,9789965,46915473
Maharashtra,48,56853196,49.82961962,-1.829619622,3,4,1589580,2437665,29644301,1492233,2262505,27208895,3081813,4700170,56853196
Manipur,2,1372339,1.202801868,0.797198132,0,1,0,354324,672650,0,360087,699689,0,714411,1372339
Meghalaya,2,1178250,1.032690393,0.967309607,0,0,0,0,593594,0,0,584656,0,0,1178250
Mizoram,1,449406,0.393886916,0.606113084,0,1,0,225360,225360,0,224046,224046,0,449406,449406
Nagaland,1,955914,0.837821519,0.162178481,0,0,0,0,505399,0,0,450515,0,0,955914
Odisha,21,24187490,21.19939618,-0.199396184,3,5,1790991,2792506,12509733,1702274,2668619,11677757,3493265,5461125,24187490
Punjab,13,15717304,13.77560691,-0.775606912,3,0,1925406,0,8293908,1703158,0,7423396,3628564,0,15717304
Rajasthan,25,31106488,27.26362938,-2.26362938,4,3,2535060,1803903,16389215,2210720,1673594,14717273,4745780,3477497,31106488
Sikkim,1,255377,0.223828028,0.776171972,0,0,0,0,132591,0,0,122786,0,0,255377
Tamil Nadu,39,47733664,41.83670379,-2.836703785,7,0,3925872,0,24037287,3936974,0,23696377,7862846,0,47733664
Tripura,2,1796055,1.574172496,0.425827504,0,1,0,442968,929599,0,411796,866456,0,854764,1796055
Uttar Pradesh,85,102946404,90.2285274,-5.228527395,18,0,11968287,0,56384851,9818709,0,46561553,21786996,0,102946404
West Bengal,42,47649856,41.76324933,0.236750674,8,2,4648799,1038679,24868890,4417472,992202,22780966,9066271,2030881,47649856
Andaman & Nicobar,1,247384,0.216822474,0.783177526,0,0,0,0,143513,0,0,103871,0,0,247384
Chandigarh,1,585006,0.512735053,0.487264947,0,0,0,0,335874,0,0,249132,0,0,585006
Dadra & Nagar Haveli,1,98376,0.086222746,0.913777254,0,1,0,51691,51691,0,46685,46685,0,98376,98376
Daman & Diu,1,72216,0.063294521,0.936705479,0,0,0,0,36788,0,0,35428,0,0,72216
Delhi,7,8712530,7.636194381,-0.636194381,1,0,340114,0,5022324,231543,0,3690206,571657,0,8712530
Lakshadweep,1,37619,0.032971593,0.967028407,0,1,0,19484,19484,0,18135,18135,0,37619,37619
Pondicherry,1,701990,0.615266988,0.384733012,0,0,0,0,356313,0,0,345677,0,0,701990
Total,543,619536847,543,0,79,41,47187184,20423380,323813667,42806672,19617900,295723180,89993856,40041280,619536847
