State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,42475179,45.03726931,-3.03726931,6,2,3107840,862934,21273312,3111038,887716,21201867,6218878,1750650,42475179
Arunachal Pradesh,2,476051,0.504766256,1.495233744,0,0,0,0,252530,0,0,223521,0,0,476051
Bihar,54,52193269,55.34155164,-1.34155164,8,5,4092179,2092640,27894165,3634310,1947687,24299104,7726489,4040327,52193269
Goa,2,734315,0.778608665,1.221391335,0,0,0,0,371406,0,0,362909,0,0,734315
Gujarat,26,24334172,25.8020021,0.1979979,2,4,916282,1804467,12502176,902051,1736516,11831996,1818333,3540983,24334172
Haryana,10,9636688,10.21797019,-0.21797019,2,0,1027062,0,5197963,848737,0,4438725,1875799,0,9636688
Himachal Pradesh,4,2983359,3.163314338,0.836685662,1,0,379829,0,1503717,338658,0,1479642,718487,0,2983359
Jammu & Kashmir,6,4155297,4.405943293,1.594056707,0,0,0,0,2231312,0,0,1923985,0,0,4155297
Karnataka,28,28611444,30.33727789,-2.33727789,4,0,1962050,0,14642987,1849806,0,13968457,3811856,0,28611444
Kerala,20,18924136,20.06563432,-0.06563432,2,0,890276,0,9347897,935842,0,9576239,1826118,0,18924136
Madhya Pradesh,40,36890694,39.11592981,0.88407019,6,9,2827843,3952894,18961342,2658901,3873532,17929352,5486744,7826426,36890694
Maharashtra,48,47205941,50.05338948,-2.05338948,3,4,1410413,1923655,24539680,1342478,1806377,22666261,2752891,3730032,47205941
Manipur,2,1219514,1.293074726,0.706925274,0,1,0,310264,609250,0,306639,610264,0,616903,1219514
Meghalaya,2,937860,0.994431439,1.005568561,0,0,0,0,478816,0,0,459044,0,0,937860
Mizoram,1,391700,0.415327229,0.584672771,0,1,0,198407,198407,0,193293,193293,0,391700,391700
Nagaland,1,813011,0.862051584,0.137948416,0,0,0,0,452553,0,0,360458,0,0,813011
Odisha,21,19440758,20.61341881,0.38658119,3,5,1561965,2311017,10409611,1273983,2118597,9031147,2835948,4429614,19440758
Punjab,13,12948035,13.72905666,-0.72905666,3,0,1636703,0,6963068,1406306,0,5984967,3043009,0,12948035
Rajasthan,25,25814515,27.37163895,-2.37163895,4,3,2193606,1499736,13627777,1901675,1389346,12186738,4095281,2889082,25814515
Sikkim,1,192619,0.204237721,0.795762279,0,0,0,0,100950,0,0,91669,0,0,192619
Tamil Nadu,39,40027212,42.44164166,-3.44164166,7,0,3408147,0,20288231,3350795,0,19738981,6758942,0,40027212
Tripura,2,1536550,1.629234244,0.370765756,0,1,0,375597,786794,0,358313,749756,0,733910,1536550
Uttar Pradesh,85,79615094,84.41745306,0.58254694,18,0,9344614,0,43896802,7506384,0,35718292,16850998,0,79615094
West Bengal,42,40414761,42.8525675,-0.8525675,8,2,4021912,932638,21701685,3609236,850947,18713076,7631148,1783585,40414761
Andaman & Nicobar,1,160940,0.170647853,0.829352147,0,0,0,0,93161,0,0,67779,0,0,160940
Chandigarh,1,334522,0.354700269,0.645299731,0,0,0,0,187671,0,0,146851,0,0,334522
Dadra & Nagar Haveli,1,74320,0.078802961,0.921197039,0,1,0,37719,37719,0,36601,36601,0,74320,74320
Daman & Diu,1,56719,0.060140273,0.939859727,0,0,0,0,28335,0,0,28384,0,0,56719
Delhi,7,5702828,6.046820908,0.953179092,1,0,261424,0,3153458,219608,0,2549370,481032,0,5702828
Lakshadweep,1,30069,0.031882753,0.968117247,0,1,0,15829,15829,0,14240,14240,0,30069,30069
Pondicherry,1,574557,0.609214109,0.390785891,0,0,0,0,296538,0,0,278019,0,0,574557
Total,529,498906129,529,0,78,39,39042145,16317797,262045142,34889808,15519804,236860987,73931953,31837601,498906129
