State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,51146342,41.35958737,0.64041263,6,2,3833730,1017131,25355118,3849436,1072502,25791224,7683166,2089633,51146342
Arunachal Pradesh,2,684034,0.553145404,1.446854596,0,0,0,0,351564,0,0,332470,0,0,684034
Assam,14,15014874,12.1418066,1.8581934,1,2,509602,930676,7821591,469503,865161,7193283,979105,1795837,15014874
Bihar,40,50559672,40.88517555,-0.88517555,7,0,4859377,0,27053408,4174022,0,23506264,9033399,0,50559672
Goa,2,941167,0.761076496,1.238923504,0,0,0,0,475847,0,0,465320,0,0,941167
Gujarat,26,33675062,27.23140335,-1.23140335,2,4,1160716,2400348,17341760,1128460,2346460,16333302,2289176,4746808,33675062
Haryana,10,12320557,9.963042003,0.036957997,2,0,1299445,0,6660631,1119828,0,5659926,2419273,0,12320557
Himachal Pradesh,4,4181995,3.381778262,0.618221738,1,0,538046,0,2128828,480942,0,2053167,1018988,0,4181995
Jammu & Kashmir,6,6368115,5.149588385,0.850411615,0,0,0,0,3468235,0,0,2899880,0,0,6368115
Karnataka,28,38592095,31.2075715,-3.2075715,4,0,2550369,0,19605257,2459629,0,18986838,5009998,0,38592095
Kerala,20,21125473,17.08315418,2.91684582,2,0,965778,0,10168428,1086486,0,10957045,2052264,0,21125473
Madhya Pradesh,29,38390101,31.04422866,-2.04422866,4,5,2777195,3101329,20028161,2480733,2998539,18361940,5257928,6099868,38390101
Maharashtra,48,63012208,50.95494262,-2.95494262,3,4,1849361,2726611,32788476,1714318,2545509,30223732,3563679,5272120,63012208
Manipur,2,1536510,1.242501753,0.757498247,0,1,0,392435,746054,0,403357,790456,0,795792,1536510
Meghalaya,2,1289374,1.042654753,0.957345247,0,0,0,0,648654,0,0,640720,0,0,1289374
Mizoram,1,549959,0.444725398,0.555274602,0,1,0,273454,273454,0,276505,276505,0,549959,549959
Nagaland,1,1041433,0.842156789,0.157843211,0,0,0,0,547114,0,0,494319,0,0,1041433
Odisha,21,25651989,20.74353001,0.25646999,3,5,1952181,2852499,13191691,1861063,2831389,12460298,3813244,5683888,25651989
Punjab,13,16615399,13.43607421,-0.43607421,3,0,1994000,0,8652294,1818729,0,7963105,3812729,0,16615399
Rajasthan,25,34712385,28.07023658,-3.07023658,4,3,2771021,2061407,18149028,2470950,1932542,16563357,5241971,3993949,34712385
Sikkim,1,281937,0.227988895,0.772011105,0,0,0,0,145738,0,0,136199,0,0,281937
Tamil Nadu,39,47252271,38.2106394,0.7893606,7,0,3838158,0,23269301,4015815,0,23982970,7853973,0,47252271
Tripura,2,1978222,1.599693007,0.400306993,0,1,0,483838,1023368,0,452788,954854,0,936626,1978222
Uttar Pradesh,80,110624490,89.4567056,-9.4567056,17,0,12718076,0,60328608,10615233,0,50295882,23333309,0,110624490
West Bengal,42,47437431,38.36036939,3.63963061,8,2,4732678,1066827,24798089,4418982,1007711,22639342,9151660,2074538,47437431
Chhattisgarh,11,13719442,11.09425304,-0.09425304,2,4,1315815,2305965,6904742,1287360,2311722,6814700,2603175,4617687,13719442
Jharkhand,14,16812339,13.59533012,0.40466988,1,5,678391,2523632,8914164,610922,2362848,7898175,1289313,4886480,16812339
Uttarakhand,5,5562637,4.498237058,0.501762942,1,0,493324,0,2838204,421116,0,2724433,914440,0,5562637
Andaman & Nicobar,1,241645,0.195406692,0.804593308,0,0,0,0,131502,0,0,110143,0,0,241645
Chandigarh,1,527684,0.426712677,0.573287323,0,0,0,0,292438,0,0,235246,0,0,527684
Dadra & Nagar Haveli,1,122681,0.099206225,0.900793775,0,1,0,65059,65059,0,57622,57622,0,122681,122681
Daman & Diu,1,79232,0.064071108,0.935928892,0,0,0,0,39595,0,0,39637,0,0,79232
Delhi,7,8763475,7.086600834,-0.086600834,1,0,291952,0,4953925,213284,0,3809550,505236,0,8763475
Lakshadweep,1,39033,0.03156411,0.96843589,0,1,0,19880,19880,0,19153,19153,0,39033,39033
Pondicherry,1,636667,0.514841988,0.485158012,0,0,0,0,310658,0,0,326009,0,0,636667
Total,543,671487930,543,0,79,41,,,,,,,,,
