State/UT,Seats,Electors,Quota,Difference,SC,ST,Male_t,Female_t,SC_m,ST_m,SC_f,ST_f,SC_T,ST_T
Andhra Pradesh,42,64887809,42.31218084,-0.31218084,7,3,32676266,32252318,5114047,1997863,5102339,2047743,10216386,4045606
Arunachal Pradesh,2,757493,0.49394765,1.50605235,0,0,379566,379778,0,0,0,0,0,0
Assam,14,18804981,12.2623921,1.7376079,1,2,9763621,9073991,615198,1135209,550799,1072479,1165997,2207688
Bihar,40,63723810,41.55315789,-1.55315789,6,0,34121296,29676576,5056070,0,4412772,0,9468842,0
Goa,2,1059953,0.691176412,1.308823588,0,0,528308,532469,0,0,0,0,0,0
Gujarat,26,40578577,26.46056501,-0.46056501,2,4,21229089,19373730,1607276,3115064,1460901,2959157,3068177,6074221
Haryana,10,15995014,10.43006283,-0.43006283,2,0,8716547,7380686,1795944,0,1557037,0,3352981,0
Himachal Pradesh,4,4744215,3.093617832,0.906382168,1,0,2474430,2335639,607137,0,546225,0,1153362,0
Jammu & Kashmir,6,7123277,4.644961653,1.355038347,0,0,3791735,3391301,0,0,0,0,0,0
Karnataka,28,46171176,30.10739889,-2.10739889,5,2,23584842,22621081,4115829,1586758,3938136,1562330,8053965,3149088
Kerala,20,24251942,15.81425805,4.18574195,2,0,11734275,12592375,1184652,0,1284367,0,2469019,0
Madhya Pradesh,29,48090968,31.35926095,-2.35926095,4,6,25312600,22807629,3347260,5155680,2924228,4911955,6271488,10067635
Maharashtra,48,80651094,52.59113733,-4.59113733,5,4,42770991,38026914,4299530,3243578,3842382,3006043,8141912,6249621
Manipur,2,1764794,1.150790634,0.849209366,0,1,871417,902952,0,454314,0,464695,0,919009
Meghalaya,2,1565820,1.021043244,0.978956756,0,2,777639,789602,0,777639,0,789602,0,1567241
Mizoram,1,697867,0.455066601,0.544933399,0,1,346219,355951,0,346219,0,355951,0,702170
Nagaland,1,1177596,0.76788931,0.23211069,0,0,600518,582454,0,0,0,0,0,0
Odisha,21,29152514,19.00983348,1.99016652,3,5,15194304,14000556,2268874,3355301,2003910,3326845,4272784,6682146
Punjab,13,19527114,12.73328213,0.26671787,4,0,10327188,9280738,3079191,0,2809563,0,5888754,0
Rajasthan,25,42895854,27.97161993,-2.97161993,4,3,22648051,20346580,3514013,2611096,3036928,2429180,6550941,5040276
Sikkim,1,370066,0.241313426,0.758686574,0,0,191017,179753,0,0,0,0,0,0
Tamil Nadu,39,55042876,35.89247594,3.10752406,7,0,27571992,27539534,4896585,0,4900779,0,9797364,0
Tripura,2,2385559,1.555580399,0.444419601,0,1,1217578,1171244,0,581604,0,558672,0,1140276
Uttar Pradesh,80,138672171,90.42564492,-10.42564492,17,0,75961829,62841617,16237739,0,13467196,0,29704935,0
West Bengal,42,62740481,40.91194662,1.08805338,10,2,32689480,30143134,7989361,1509606,7384356,1436407,15373717,2946013
Chhattisgarh,11,17657867,11.51437956,-0.51437956,1,4,8946747,8716788,895884,2945907,848077,2950468,1743961,5896375
Jharkhand,14,20336193,13.26086809,0.73913191,1,5,10710644,9639126,889932,3077473,756024,2932666,1645956,6010139
Uttarakhand,5,7041765,4.591809135,0.408190865,1,0,3749011,3377989,639362,0,614162,0,1253524,0
Andaman & Nicobar,1,268940,0.175370969,0.824629031,0,0,142783,126577,0,0,0,0,0,0
Chandigarh,1,613939,0.400338652,0.599661348,0,0,333621,281593,0,0,0,0,0,0
Dadra & Nagar Haveli,1,196577,0.128184349,0.871815651,0,1,106203,90394,0,106203,0,90394,0,196597
Daman & Diu,1,111817,0.072913868,0.927086132,0,0,57011,54816,0,0,0,0,0,0
Delhi,7,12706375,8.285600101,-1.285600101,0,0,7051073,5659252,0,0,0,0,0,0
Lakshadweep,1,49821,0.032487384,0.967512616,0,1,25433,24489,0,25433,0,24489,0,49922
Puducherry,1,900874,0.587443839,0.412556161,0,0,432048,469289,0,0,0,0,0,0
TOTAL,543,832717189,543,0,83,47,437035372,397018915,68153884,32024947,61440181,30919076,129594065,62944023
