State/UT,Seats,Electors,Quota,Difference
Andhra Pradesh,41,21091212,43.83335663,-2.83335663
Assam,14,5741959,11.93337474,2.06662526
Bihar,53,27729950,57.63048552,-4.63048552
Gujarat,24,10692948,22.22289564,1.77710436
Haryana,9,4386711,9.11679555,-0.11679555
Jammu & Kashmir,6,1632522,3.392831054,2.607168946
Madhya Pradesh,37,18393340,38.2264344,-1.2264344
Madras,39,20796700,43.22127945,-4.22127945
Maharashtra,45,22225473,46.19066388,-1.19066388
Mysore,27,12778996,26.55827883,0.44172117
Nagaland,1,214951,0.446727473,0.553272527
Odisha,20,9883171,20.53995565,-0.53995565
Punjab,13,6311501,13.11704013,-0.11704013
Rajasthan,23,12176265,25.30563754,-2.30563754
Uttar Pradesh,85,42131487,87.56085213,-2.56085213
West Bengal,40,20249169,42.083359,-2.083359
Kerala,19,8616556,17.90758028,1.09241972
Andaman & Nicobar,1,47064,0.097811975,0.902188025
Chandigarh,1,76232,0.158431125,0.841568875
Dadra And Nagar Haveli,1,29564,0.061442147,0.938557853
Delhi,7,1684714,3.501300427,3.498699573
"Goa, Daman And Diu",2,418394,0.869538148,1.130461852
Himachal Pradesh,6,1582315,3.288487058,2.711512942
"Laccadive, Minicoy And Amindivi Islands",1,14505,0.030145391,0.969854609
Manipur,2,483049,1.003909073,0.996090927
Pondicherry,1,216689,0.450339517,0.549660483
Tripura,2,601964,1.251047246,0.748952754
TOTAL,520,250207401,520,0
