State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,42617973,44.73968394,-2.73968394,6,2,3127755,863592,21387877,3111681,892410,21230096,6239436,1756002,42617973
Arunachal Pradesh,2,519315,0.545168795,1.454831205,0,0,0,0,279371,0,0,239944,0,0,519315
Assam,14,11873952,12.46508978,1.53491022,1,2,435890,806633,6472042,365767,620624,5401910,801657,1427257,11873952
Bihar,54,50453647,52.96545241,1.03454759,8,5,4115381,2100370,26944010,3645895,1952118,23509637,7761276,4052488,50453647
Goa,2,754319,0.791872332,1.208127668,0,0,0,0,381949,0,0,372370,0,0,754319
Gujarat,26,24882508,26.12126916,-0.12126916,2,4,925168,1824412,12809607,910359,1754617,12072901,1835527,3579029,24882508
Haryana,10,9725897,10.21009511,-0.21009511,2,0,1036932,0,5242284,866553,0,4483613,1903485,0,9725897
Himachal Pradesh,4,3076182,3.229327928,0.770672072,1,0,391950,0,1556827,346954,0,1519355,738904,0,3076182
Jammu & Kashmir,,,0,0,,,,,,,,,,,
Karnataka,28,28839296,30.27504354,-2.27504354,4,0,1961783,0,14728176,1866586,0,14111120,3828369,0,28839296
Kerala,20,19657976,20.63663688,-0.63663688,2,0,918762,0,9715824,963223,0,9942152,1881985,0,19657976
Madhya Pradesh,40,37708721,39.58602769,0.41397231,6,9,2909934,4021601,19453952,2707236,3932027,18254769,5617170,7953628,37708721
Maharashtra,48,48631193,51.0522686,-3.0522686,3,4,1437421,1986029,25408904,1364015,1840371,23222289,2801436,3826400,48631193
Manipur,2,1232149,1.29349082,0.70650918,0,1,0,312784,615430,0,307862,616719,0,620646,1232149
Meghalaya,2,942513,0.98943546,1.01056454,0,0,0,0,472892,0,0,469621,0,0,942513
Mizoram,1,414412,0.43504326,0.56495674,0,1,0,208996,208996,0,205416,205416,0,414412,414412
Nagaland,1,814836,0.855402135,0.144597865,0,0,0,0,449625,0,0,365211,0,0,814836
Odisha,21,19804564,20.79052267,0.20947733,3,5,1592484,2344497,10610277,1303870,2136350,9194287,2896354,4480847,19804564
Punjab,13,13169797,13.82544767,-0.82544767,4,3,2238797,1528065,14054039,1923950,1406822,12459463,4162747,2934887,26513502
Rajasthan,25,26513502,27.83346124,-2.83346124,0,0,2238797,1528065,14054039,1923950,1406822,12459463,4162747,2934887,26513502
Sikkim,1,201704,0.211745716,0.788254284,7,0,0,0,105028,0,0,96676,0,0,201704
Tamil Nadu,39,39917777,41.90506026,-2.90506026,0,1,3383725,0,20213453,3335757,0,19704324,6719482,0,39917777
Tripura,2,1561085,1.638802707,0.361197293,18,0,0,378631,798904,0,364226,762181,0,742857,1561085
Uttar Pradesh,85,79454881,83.41049594,1.58950406,8,2,9337657,0,43693013,7670466,0,35761868,17008123,0,79454881
West Bengal,42,41392460,43.45315949,-1.45315949,0,0,4111558,941861,22196700,3689126,860903,19195760,7800684,1802764,41392460
Andaman & Nicobar,1,169120,0.177539541,0.822460459,0,0,0,0,99014,0,0,70106,0,0,169120
Chandigarh,1,372792,0.391351232,0.608648768,0,1,0,0,212702,0,0,160090,0,0,372792
Dadra & Nagar Haveli,1,75009,0.078743279,0.921256721,0,0,0,38117,38117,0,36892,36892,0,75009,75009
Daman & Diu,1,57892,0.060774119,0.939225881,1,0,0,0,29257,0,0,28635,0,0,57892
Delhi,7,6073156,6.375504531,0.624495469,,,279370,0,3330933,230562,0,2742223,509932,0,6073156
Lakshadweep,1,31665,0.033241424,0.966758576,0,1,0,16676,16676,0,14989,14989,0,31665,31665
Pondicherry,1,593305,0.622842344,0.377157656,0,0,0,0,306620,0,0,286685,0,0,593305
Total,537,511533598,537,0,76,41,40443364,18900329,275886538,36225950,17732449,248990765,76669314,36632778,524877303
