State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,30497603,46.40497904,-4.40497904,6,2,2212034,629720,15081626,2237017,659330,15415977,4449051,1289050,30497603
Arunachal Pradesh,2,266650,0.405733121,1.594266879,0,0,0,0,136754,0,0,129896,0,0,266650
Assam,14,1209486,1.84034701,12.15965299,1,2,344625,0,645817,299813,0,563669,644438,0,1209486
Bihar,54,39713395,60.42767566,-6.42767566,8,5,3089225,1566078,21014329,2781434,1515521,18699066,5870659,3081599,39713395
"Goa, Daman & Diu",2,522652,0.795264307,1.204735693,0,0,0,0,261753,0,0,260899,0,0,522652
Gujarat,26,16499141,25.10499898,0.89500102,2,4,623037,1229755,8332506,633648,1225591,8166635,1256685,2455346,16499141
Haryana,10,6912965,10.51872817,-0.51872817,2,0,702709,0,3675810,605722,0,3237155,1308431,0,6912965
Himachal Pradesh,4,2175326,3.309963653,0.690036347,1,0,277032,0,1099858,246945,0,1075468,523977,0,2175326
Jammu & Kashmir,6,2867637,4.363380128,1.636619872,0,0,0,0,1557582,0,0,1310055,0,0,2867637
Karnataka,28,19562924,29.76683375,-1.76683375,4,0,1384475,0,9956137,1342534,0,9606787,2727009,0,19562924
Kerala,20,13266764,20.18663255,-0.18663255,2,0,617472,0,6560800,660612,0,6705964,1278084,0,13266764
Madhya Pradesh,40,25186438,38.32354062,1.67645938,6,9,1906599,2622626,12653755,1885920,2678344,12532683,3792519,5300970,25186438
Maharashtra,48,33485064,50.95068268,-2.95068268,3,4,1010824,1331325,17154488,1000529,1322194,16330576,2011353,2653519,33485064
Manipur,2,909282,1.383558313,0.616441687,0,1,0,218586,435560,0,221365,473722,0,439951,909282
Meghalaya,2,225582,0.343244286,1.656755714,0,0,0,0,114253,0,0,111329,0,0,225582
Mizoram,1,230795,0.351176358,0.648823642,0,1,0,115266,115266,0,115529,115529,0,230795,230795
Nagaland,1,460083,0.700059673,0.299940327,0,0,0,0,247364,0,0,212719,0,0,460083
Odisha,21,13847828,21.07077622,-0.07077622,3,5,1075571,1555494,7188561,952345,1480783,6659267,2027916,3036277,13847828
Punjab,13,9741135,14.82205554,-1.82205554,3,0,1224414,0,5274441,1025186,0,4466694,2249600,0,9741135
Rajasthan,25,17764848,27.03089155,-2.03089155,4,3,1553025,1001985,9231227,1281835,976348,8533621,2834860,1978333,17764848
Sikkim,1,118224,0.179888965,0.820111035,0,0,0,0,64616,0,0,53608,0,0,118224
Tamil Nadu,39,28113893,42.77793948,-3.77793948,7,0,2449028,0,14095745,2464665,0,14018148,4913693,0,28113893
Tripura,2,1057506,1.609095107,0.390904893,0,1,0,271364,543640,0,250854,513866,0,522218,1057506
Uttar Pradesh,85,58035998,88.30724404,-3.30724404,18,0,6718537,0,31520249,5668502,0,26515749,12387039,0,58035998
West Bengal,42,29786146,45.32243012,-3.32243012,8,2,3004031,709315,16528811,2571760,614851,13257335,5575791,1324166,29786146
Andaman & Nicobar,1,96084,0.146200867,0.853799133,0,0,0,0,59065,0,0,37019,0,0,96084
Chandigarh,1,197016,0.299778424,0.700221576,0,0,0,0,115015,0,0,82001,0,0,197016
Dadra & Nagar Haveli,1,45874,0.069801617,0.930198383,0,1,0,22935,22935,0,22939,22939,0,45874,45874
Delhi,7,3069636,4.670740656,2.329259344,1,0,189677,0,1679203,155170,0,1390433,344847,0,3069636
Lakshadweep,1,20117,0.030609913,0.969390087,0,1,0,10229,10229,0,9888,9888,0,20117,20117
Pondicherry,1,319237,0.485749201,0.514250799,0,0,0,0,162044,0,0,157193,0,0,319237
Total,542,356205329,542,0,79,41,28382315,11284678,185539439,25813637,11093537,170665890,54195952,22378215,
